,text,intent
3524,display nearby places,places near me
3525,Can you tell me the time?,asking time
3526,How about a joke,tell me joke
3527,play shape of you on youtube today,play on youtube
3528,please send an email to john saying i'm on leave,send email
3529,send message via email,send email
3530,Please be quiet,goodbye
3531,are there any recent emails from rohit,send email
3532,today,asking date
3533,Thanks good bye,goodbye
3534,i'dl like to hear any classical except for bach or schubert,play on youtube
3535,hi how are you,"greet and hello hi kind of things, general check in"
3536,I am Bella,"greet and hello hi kind of things, general check in"
3537,send email how are you dad to dad,send email
3538,what shops are round here,places near me
3539,make me laugh,tell me joke
3540,covid confirmed cases of,covid cases
3541,play only songs by the beatles please,play on youtube
3542,play despacito on youtube today,play on youtube
3543,get news from bbc,tell me news
3544,volume control decrease,volume control
3545,Can you recommend some places nearby?,places near me
3546,Hello,"greet and hello hi kind of things, general check in"
3547,what can you do,what can you do
3548,Hi there,"greet and hello hi kind of things, general check in"
3549,tell me about my job,tell me about
3550,take screenshot of google,take screenshot
3551,send whatsapp message about <name>,send whatsapp message
3552,will you send the email to greg,send email
3553,"Thank you, bye",goodbye
3554,tell me about today,tell me about
3555,select and play only christian rock from one thousand nine hundred and ninety upwards,play on youtube
3556,open website stackoverflow.com,open website
3557,silent,volume control
3558,make me laugh,tell me joke
3559,download youtube video of,download youtube video
3560,answer paul's email,send email
3561,open website stackoverflow.com,open website
3562,when i want it to take down notes,tell me about
3563,is there any rains predicted for bangalore today,asking weather
3564,This is Adam,"greet and hello hi kind of things, general check in"
3565,play let me love you on youtube,play on youtube
3566,bye,goodbye
3567,take screenshot of google,take screenshot
3568,lower the volume of the speakers,volume control
3569,screen shot of <name>,take screenshot
3570,daily cases of india,covid cases
3571,Good thanks! I am Adam,"greet and hello hi kind of things, general check in"
3572,play shape of you on youtube today,play on youtube
3573,please explain me more on what you've just said.,tell me about
3574,tell me joke,tell me joke
3575,what's the good news?,tell me news
3576,send email to <name>,send email
3577,i will need a scarf in afternoon to overcome sunlight,asking weather
3578,Hola how are you?,"greet and hello hi kind of things, general check in"
3579,volume control mute,volume control
3580,could you please lower your volume,volume control
3581,what are today's headlines,tell me news
3582,take screenshot,take screenshot
3583,hey there,"greet and hello hi kind of things, general check in"
3584,today,asking date
3585,what's the latest news on donald trump,tell me news
3586,did paul email me recently,send email
3587,take screenshot,take screenshot
3588,play kishore kumar on youtube,play on youtube
3589,play song aces high,play on youtube
3590,send an email to my boss and attach the presentation file with it apologize for being late,send email
3591,mute yourself until five pm,volume control
3592,Hello there,"greet and hello hi kind of things, general check in"
3593,What are your functionalities?,what can you do
3594,what's the news in politics on cnn,tell me news
3595,This is Adam,"greet and hello hi kind of things, general check in"
3596,Please be quiet,goodbye
3597,Hello,"greet and hello hi kind of things, general check in"
3598,volume control,volume control
3599,make me laugh,tell me joke
3600,what can you do,what can you do
3601,send whatsapp message,send whatsapp message
3602,What are the top places nearby?,places near me
3603,what is the weather like day before tomorrow,asking weather
3604,what is the weather this friday,asking weather
3605,ten past seven,asking time
3606,decrease the volume to ten,volume control
3607,covid confirmed cases,covid cases
3608,i want to take karate classes where are local karate studios,places near me
3609,i challenge you to a game,play games
3610,send email about <name>,send email
3611,today,asking date
3612,click photo,click photo
3613,This is Adam,"greet and hello hi kind of things, general check in"
3614,find gluten free bakery near me,places near me
3615,i need the volume to be quieter,volume control
3616,what is the weather today,asking weather
3617,please will you further clarify me on that.,tell me about
3618,Shhh,goodbye
3619,good afternoon,goodbye
3620,play games of xyz 32 bit,play games
3621,hello,"greet and hello hi kind of things, general check in"
3622,tell me fun joke,tell me joke
3623,how many degrees is it in orange tx right now,asking weather
3624,Please be quiet,goodbye
3625,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
3626,places near me,places near me
3627,open website wikipedia.com,open website
3628,What are your functionalities?,what can you do
3629,open website stackoverflow.com,open website
3630,send email to <name> about <name>,send email
3631,send email to dipesh,send email
3632,tell me a fun joke,tell me joke
3633,Hola how are you?,"greet and hello hi kind of things, general check in"
3634,play subway surfers with me,play games
3635,daily cases of india,covid cases
3636,How hot will it be,asking weather
3637,email my mom,send email
3638,download youtube video of guru randhawa,download youtube video
3639,play games of xyz 64 bit,play games
3640,what's good news,tell me news
3641,good day,goodbye
3642,what is happening with brexit today,tell me news
3643,uefa european championship,tell me about
3644,hey there,"greet and hello hi kind of things, general check in"
3645,send email to dipesh,send email
3646,Hello,"greet and hello hi kind of things, general check in"
3647,i am bored what can i do today,i am bored
3648,Hi there,"greet and hello hi kind of things, general check in"
3649,Can you recommend some places nearby?,places near me
3650,mute speakers please,volume control
3651,stop making sounds for forty minutes,volume control
3652,send email to dipesh,send email
3653,i need a good shop,places near me
3654,will it be rainy tomorrow,asking weather
3655,see you later,goodbye
3656,download youtube video of minecraft,download youtube video
3657,volume control unmute,volume control
3658,i want to hear a joke,tell me joke
3659,stop the audio,volume control
3660,It is Bella,"greet and hello hi kind of things, general check in"
3661,Thanks good bye,goodbye
3662,tell me news day after tomorrow,tell me news
3663,"s2, last sentence was not clear.",tell me about
3664,Great thanks! I am Bella,"greet and hello hi kind of things, general check in"
3665,what are the news notification,tell me news
3666,This is Adam,"greet and hello hi kind of things, general check in"
3667,what's the weather forecast for today,asking weather
3668,What are the things you can do?,what can you do
3669,send email to dipesh,send email
3670,can you turn that down,volume control
3671,tomorrow,asking date
3672,play games of gcc,play games
3673,send email to dipesh,send email
3674,tell me a dad joke,tell me joke
3675,please play trivial pursuit with me,play games
